jurisdiction,state,white,black,hispanic,asian,native_hawaiian_or_pacific_islander,american_indian_or_alaska_native,more_than_one_race,total
Boone County,Missouri,32.3,54.4,,,,,,32.0
Jackson County,Missouri,42.3,59.0,26.3,,,,,44.0
St. Louis County,Missouri,33.3,61.9,,,,,,37.8
St. Louis city,Missouri,116.5,200.6,92.8,,,,,147.6
Douglas County,Nebraska,18.9,38.8,13.5,,,,,20.0
Clark County,Nevada,41.1,42.1,16.8,7.7,,,14.5,28.6
Washoe County,Nevada,62.8,120.8,27.7,,,,,52.1
Hillsborough County,New Hampshire,47.5,100.2,45.1,,,,,46.4
Atlantic County,New Jersey,93.5,148.7,48.3,,,,,83.1
Bergen County,New Jersey,20.9,18.7,14.3,,,,,15.9
Burlington County,New Jersey,30.4,27.1,22.4,,,,,27.0
Camden County,New Jersey,61.0,127.4,59.0,,,,,69.2
Cumberland County,New Jersey,58.7,68.5,41.3,,,,,52.9
Essex County,New Jersey,33.1,83.4,42.2,,,,,52.0
Gloucester County,New Jersey,38.4,29.6,,,,,,34.6
Hudson County,New Jersey,34.8,64.4,17.8,,,,,24.7
Mercer County,New Jersey,38.9,61.1,36.1,,,,,37.8
Middlesex County,New Jersey,38.2,50.5,22.0,,,,,26.1
Monmouth County,New Jersey,23.1,26.3,26.6,,,,,22.8
Ocean County,New Jersey,26.0,,25.5,,,,,25.5
Passaic County,New Jersey,25.6,74.2,21.9,,,,,26.9
Somerset County,New Jersey,15.1,29.7,,,,,,13.3
Union County,New Jersey,27.5,36.3,23.2,,,,,26.0
Bernalillo County,New Mexico,55.7,126.7,69.5,,,133.3,,68.7
Chaves County,New Mexico,53.6,,41.5,,,,,45.4
Dona Ana County,New Mexico,29.2,,22.7,,,,,24.6
Santa Fe County,New Mexico,32.6,,68.9,,,,,54.6
Albany County,New York,32.2,63.2,,,,,,35.5
Bronx County,New York,101.9,75.5,55.2,,,,,63.8
Dutchess County,New York,41.6,65.8,32.4,,,,,42.0
Erie County,New York,31.5,78.9,63.5,,,,,38.8
Kings County,New York,23.4,37.8,41.9,3.9,,,,29.5
Monroe County,New York,35.5,92.7,47.0,,,,,44.4
Nassau County,New York,18.8,35.4,12.5,,,,,17.2
New York County,New York,27.4,88.8,51.6,8.7,,,,40.6
Niagara County,New York,34.5,110.9,,,,,,38.9
Oneida County,New York,32.2,104.2,,,,,,35.4
Onondaga County,New York,34.3,75.7,52.5,,,,,38.4
Orange County,New York,33.1,60.5,27.1,,,,,34.2
Queens County,New York,32.5,37.0,20.4,5.3,,,,21.9
Richmond County,New York,36.0,61.9,28.1,,,,,32.8
Schenectady County,New York,32.1,61.8,,,,,,33.1
Suffolk County,New York,38.0,33.2,22.0,,,,,32.5
Ulster County,New York,41.1,91.0,,,,,,40.0
Westchester County,New York,18.8,34.6,14.6,,,,,18.4
Buncombe County,North Carolina,70.2,81.7,,,,,,65.4
Cabarrus County,North Carolina,36.8,20.7,,,,,,26.7
Craven County,North Carolina,95.3,89.1,,,,,,85.3
Cumberland County,North Carolina,68.9,53.5,29.7,,,,,54.4
Durham County,North Carolina,40.0,74.3,23.7,,,,,47.8
Forsyth County,North Carolina,63.7,58.7,,,,,,52.7
Gaston County,North Carolina,67.8,52.5,,,,,,58.9
Guilford County,North Carolina,52.5,40.7,28.4,,,,,42.7
Harnett County,North Carolina,51.0,34.5,,,,,,41.1
Lee County,North Carolina,48.2,117.3,,,,,,51.9
Mecklenburg County,North Carolina,34.0,36.5,21.8,,,,,30.8
Nash County,North Carolina,46.2,50.6,,,,,,43.8
New Hanover County,North Carolina,49.5,55.8,,,,,,49.0
Onslow County,North Carolina,42.7,55.0,,,,,,38.1
Orange County,North Carolina,21.2,63.7,,,,,,23.9
Pitt County,North Carolina,67.8,58.1,,,,,,62.2
Robeson County,North Carolina,65.0,70.5,,,,105.3,,79.7
Rowan County,North Carolina,72.8,53.0,,,,,,62.1
Wake County,North Carolina,20.9,38.1,16.1,,,,,21.9
Butler County,Ohio,56.3,29.3,,,,,,48.4
Cuyahoga County,Ohio,50.6,56.8,38.9,,,,,49.3
Franklin County,Ohio,65.1,91.1,48.5,12.7,,,,65.4
Hamilton County,Ohio,52.1,57.8,,,,,,49.8
Lorain County,Ohio,42.8,53.1,,,,,,40.2
Lucas County,Ohio,54.1,66.3,64.8,,,,,55.1
Mahoning County,Ohio,54.9,148.7,,,,,,67.4
Montgomery County,Ohio,68.9,61.8,,,,,,61.8
Stark County,Ohio,40.0,74.3,,,,,,40.5
Summit County,Ohio,46.0,69.6,,,,,,45.3
Trumbull County,Ohio,54.4,104.1,,,,,,57.3
Oklahoma County,Oklahoma,42.3,42.5,19.7,,,87.6,29.5,38.0
Tulsa County,Oklahoma,55.3,64.1,15.6,,,111.5,39.6,51.2
Jackson County,Oregon,35.7,,33.4,,,,,36.1
Marion County,Oregon,29.5,,18.1,,,,,26.5
Multnomah County,Oregon,58.1,100.4,32.1,,,302.5,55.4,57.7
Allegheny County,Pennsylvania,50.2,116.5,,,,,,56.8
Beaver County,Pennsylvania,33.5,95.2,,,,,,37.4
Berks County,Pennsylvania,27.7,57.5,50.2,,,,,34.2
Bucks County,Pennsylvania,28.4,,34.5,,,,,27.4
Cambria County,Pennsylvania,56.6,402.0,,,,,,69.2
Chester County,Pennsylvania,18.0,52.0,,,,,,18.0
Dauphin County,Pennsylvania,30.6,55.5,74.8,,,,,37.0
Delaware County,Pennsylvania,30.3,23.0,,,,,,25.9
Erie County,Pennsylvania,38.3,50.7,,,,,,37.7
Lancaster County,Pennsylvania,17.0,,32.6,,,,,19.8
Lawrence County,Pennsylvania,89.3,348.4,,,,,,99.0
Lehigh County,Pennsylvania,37.1,65.6,49.9,,,,,40.9
Luzerne County,Pennsylvania,61.5,99.0,19.4,,,,,54.8
Montgomery County,Pennsylvania,20.0,44.0,,,,,,20.1
Philadelphia County,Pennsylvania,102.8,95.2,75.3,10.3,,,,86.3
