jurisdiction,state,white,black,hispanic,asian,native_hawaiian_or_pacific_islander,american_indian_or_alaska_native,more_than_one_race,total
Lucas County,Ohio,72.3,78.1,50.1,,,,,68.9
Mahoning County,Ohio,62,118.4,63.8,,,,,68.7
Montgomery County,Ohio,66.2,73.9,75.8,,,,,65
Stark County,Ohio,49.7,101.4,,,,,,51.3
Summit County,Ohio,45.3,73.3,,,,,,46.5
Trumbull County,Ohio,64.3,133.1,,,,,,67.8
Oklahoma County,Oklahoma,52.5,53.2,28.3,,,79.6,41.7,47.6
Tulsa County,Oklahoma,50.3,75.5,26,,,123.6,,50.5
Jackson County,Oregon,54.7,,33.4,,,,,51.4
Lane County,Oregon,64.6,,38.9,,,,,62.5
Marion County,Oregon,46.5,,25.1,,,,,37.8
Multnomah County,Oregon,88.7,214,75.9,20.1,,427.1,107.9,94
Washington County,Oregon,21.2,,9.3,,,,,17
Allegheny County,Pennsylvania,48.3,130,,,,,,57.8
Beaver County,Pennsylvania,37.6,104.8,,,,,,40.4
Berks County,Pennsylvania,22.9,,32.2,,,,,26
Cambria County,Pennsylvania,50,201,,,,,,57.8
Chester County,Pennsylvania,17.5,32.5,,,,,,17
Dauphin County,Pennsylvania,35.1,63.8,59.2,,,,,40.2
Delaware County,Pennsylvania,31.4,38.3,,,,,,30.8
Erie County,Pennsylvania,42.3,141.9,,,,,,48.9
Lackawanna County,Pennsylvania,32,124.9,,,,,,34.3
Lancaster County,Pennsylvania,14.1,,26.4,,,,,16.2
Lawrence County,Pennsylvania,71.2,290.4,,,,,,79
Lebanon County,Pennsylvania,18.4,,54.5,,,,,23.6
Lehigh County,Pennsylvania,38.9,69.9,55.5,,,,,43.6
Luzerne County,Pennsylvania,46.5,66,19.4,,,,,42.3
Montgomery County,Pennsylvania,21.7,36.9,,,,,,21.3
Northampton County,Pennsylvania,20.2,,32.1,,,,,21.7
Philadelphia County,Pennsylvania,93.4,97.8,78.1,15.1,,,,84.7
Westmoreland County,Pennsylvania,28.7,104.3,,,,,,29.5
York County,Pennsylvania,25.8,56.4,44.6,,,,,28.6
Providence County,Rhode Island,54.5,45.5,40,,,,,48.1
Aiken County,South Carolina,70.5,51.5,,,,,,59.1
Charleston County,South Carolina,56.1,92.1,55.4,,,,,63.7
Dorchester County,South Carolina,28,28.3,,,,,,28.3
Florence County,South Carolina,79,23.6,,,,,,50.5
